Trigger,Applies To,Learning Type,Sent To,Timestamp,Priority Level,Typical Response Time,Contextual Summary,Tone,Response Likelihood,Escalation Level,Feedback,Compliance Check,Actionable Links,Comments,Send Now,Employee Number,Previous Records Present,Most Active Day
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-12-14 09:51:02,High,6,Summary of the pending request.,Neutral,0.5362280914547007,Level 1,Positive,Fail,http://example.com/action,"Noted, will review the details soon.",0,1055,Yes,Monday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-10-02 09:51:02,High,3,Summary of the pending request.,Neutral,0.454349078156795,Level 2,Negative,Fail,http://example.com/action,"Received the reminder, action pending.",1,2205,Yes,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-12-17 09:51:02,Low,4,Summary of the pending request.,Neutral,0.0296256589451651,Level 1,Neutral,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",0,8643,Yes,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-07-22 09:51:02,High,1,Summary of the pending request.,Urgent,0.7200746641041943,Level 1,Negative,Pass,http://example.com/action,Important to address this as soon as possible.,1,7316,No,Tuesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-06-26 09:51:02,Medium,5,Summary of the pending request.,Neutral,0.4157742341031559,None,Neutral,Fail,http://example.com/action,"Noted, will review the details soon.",0,9434,Yes,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-18 09:51:02,Medium,6,Summary of the pending request.,Friendly,0.237530201446925,Level 1,Negative,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",0,4719,Yes,Wednesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-09-04 09:51:02,High,4,Summary of the pending request.,Friendly,0.4306550113536029,None,Neutral,Pass,http://example.com/action,Appreciate the clarity in this reminder.,0,6788,No,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-23 09:51:02,Low,3,Summary of the pending request.,Urgent,0.5059607896770779,Level 1,Positive,Fail,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,1117,No,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-09-22 09:51:02,Medium,6,Summary of the pending request.,Friendly,0.5776343958641829,Level 2,Positive,Fail,http://example.com/action,Appreciate the clarity in this reminder.,0,5212,No,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-09-14 09:51:02,Medium,4,Summary of the pending request.,Urgent,0.7135448626110564,None,Neutral,Fail,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,4517,Yes,Friday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-05 09:51:02,High,6,Summary of the pending request.,Urgent,0.0091414616906617,Level 2,Neutral,Fail,http://example.com/action,Important to address this as soon as possible.,0,6232,Yes,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-05 09:51:02,Medium,5,Summary of the pending request.,Neutral,0.1489406645764448,Level 2,Positive,Fail,http://example.com/action,"Okay, I will check this out.",0,9393,No,Wednesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-02-14 09:51:02,Low,4,Summary of the pending request.,Neutral,0.2536502610692127,None,Neutral,Pass,http://example.com/action,"Reminder received, will look into it.",0,1814,No,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-12-20 09:51:02,High,1,Summary of the pending request.,Friendly,0.1931297883277086,Level 1,Neutral,Pass,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",1,8943,Yes,Monday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-06-23 09:51:02,Medium,4,Summary of the pending request.,Friendly,0.5309219311457678,Level 1,Negative,Fail,http://example.com/action,Appreciate the clarity in this reminder.,0,9915,Yes,Wednesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-02-02 09:51:02,Medium,5,Summary of the pending request.,Friendly,0.9960964478550944,None,Negative,Pass,http://example.com/action,Appreciate the clarity in this reminder.,0,8641,No,Thursday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-04-01 09:51:02,Low,4,Summary of the pending request.,Neutral,0.6153482571635484,None,Positive,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",0,7898,No,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-19 09:51:02,High,5,Summary of the pending request.,Urgent,0.5294598815362896,Level 1,Neutral,Fail,http://example.com/action,"Immediate action required, cannot delay!",0,6959,Yes,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-24 09:51:02,High,3,Summary of the pending request.,Urgent,0.3022675887804356,Level 2,Negative,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,1,7283,Yes,Wednesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-08-18 09:51:02,Low,1,Summary of the pending request.,Neutral,0.5757967284124141,Level 1,Neutral,Pass,http://example.com/action,"Noted, will review the details soon.",1,6966,Yes,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-05-23 09:51:02,Medium,3,Summary of the pending request.,Urgent,0.997325777989161,None,Negative,Fail,http://example.com/action,Please prioritize this as it's extremely urgent.,1,6126,No,Wednesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-03-27 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.7365644717550821,Level 1,Neutral,Pass,http://example.com/action,Important to address this as soon as possible.,1,7371,Yes,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-12-08 09:51:02,High,7,Summary of the pending request.,Friendly,0.2984447914486329,Level 2,Negative,Pass,http://example.com/action,Appreciate the clarity in this reminder.,0,3797,Yes,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-04-17 09:51:02,Medium,5,Summary of the pending request.,Urgent,0.552251409053733,None,Positive,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",0,3832,No,Wednesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-05-10 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.4829448181754194,Level 2,Neutral,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",0,2645,Yes,Wednesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-05-03 09:51:02,High,6,Summary of the pending request.,Neutral,0.2448918538034762,None,Negative,Pass,http://example.com/action,"Received the reminder, action pending.",0,2276,Yes,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-05 09:51:02,High,5,Summary of the pending request.,Friendly,0.6898676320996214,Level 2,Neutral,Fail,http://example.com/action,"Great reminder, very helpful!",0,9172,No,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-01-17 09:51:02,Medium,4,Summary of the pending request.,Urgent,0.6796948580881589,Level 2,Neutral,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,0,4462,No,Tuesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-06-27 09:51:02,Medium,7,Summary of the pending request.,Friendly,0.9742253765046068,None,Neutral,Fail,http://example.com/action,"Always good to get these reminders, thank you!",0,8776,No,Monday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-07-11 09:51:02,Medium,1,Summary of the pending request.,Friendly,0.2491982796599716,None,Neutral,Pass,http://example.com/action,"Great reminder, very helpful!",1,6622,No,Sunday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-05-03 09:51:02,High,6,Summary of the pending request.,Neutral,0.2448918538034762,None,Negative,Pass,http://example.com/action,"Okay, I will check this out.",0,2276,Yes,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-27 09:51:02,Medium,6,Summary of the pending request.,Friendly,0.4571136166364486,None,Neutral,Pass,http://example.com/action,"Always good to get these reminders, thank you!",0,3116,Yes,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-05 09:51:02,High,1,Summary of the pending request.,Neutral,0.8444283886858833,None,Negative,Pass,http://example.com/action,"Okay, I will check this out.",1,8863,Yes,Sunday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-18 09:51:02,Low,1,Summary of the pending request.,Friendly,0.5980437977942729,Level 1,Neutral,Pass,http://example.com/action,"Great reminder, very helpful!",1,8221,Yes,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-19 09:51:02,Low,7,Summary of the pending request.,Neutral,0.0711797601534792,None,Neutral,Pass,http://example.com/action,"Okay, I will check this out.",0,4744,Yes,Sunday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-10 09:51:02,High,1,Summary of the pending request.,Urgent,0.9429602273424524,Level 1,Neutral,Fail,http://example.com/action,"Immediate action required, cannot delay!",1,6954,Yes,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-27 09:51:02,High,4,Summary of the pending request.,Urgent,0.2785451446669404,None,Positive,Fail,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,4086,No,Monday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-11-26 09:51:02,Low,2,Summary of the pending request.,Urgent,0.1919320569916132,Level 2,Neutral,Fail,http://example.com/action,Please prioritize this as it's extremely urgent.,1,7016,No,Tuesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-15 09:51:02,Medium,7,Summary of the pending request.,Friendly,0.1297712297137704,None,Positive,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",0,5146,Yes,Monday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-05 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.381364297657629,Level 1,Negative,Fail,http://example.com/action,Important to address this as soon as possible.,1,6951,Yes,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-03-27 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.7365644717550821,Level 1,Neutral,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,1,7371,Yes,Tuesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-21 09:51:02,Low,5,Summary of the pending request.,Neutral,0.9662681532059472,None,Negative,Pass,http://example.com/action,"Okay, I will check this out.",0,3891,Yes,Tuesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-03 09:51:02,Medium,5,Summary of the pending request.,Friendly,0.4937952193450843,None,Negative,Pass,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",0,7038,Yes,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-09 09:51:02,Medium,2,Summary of the pending request.,Urgent,0.3306840968317855,Level 2,Neutral,Fail,http://example.com/action,"This is an urgent matter, please address it immediately.",1,2990,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-05-23 09:51:02,Low,5,Summary of the pending request.,Friendly,0.4232547589479897,Level 1,Positive,Fail,http://example.com/action,"Always good to get these reminders, thank you!",0,1793,No,Wednesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-04-21 09:51:02,Low,1,Summary of the pending request.,Neutral,0.8584061263801763,None,Positive,Fail,http://example.com/action,"Noted, will review the details soon.",1,8804,Yes,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-10 09:51:02,High,1,Summary of the pending request.,Urgent,0.9429602273424524,Level 1,Neutral,Fail,http://example.com/action,"Immediate action required, cannot delay!",1,6954,Yes,Monday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-10-18 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.2142368073704386,None,Negative,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",0,7949,Yes,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-09-29 09:51:02,High,1,Summary of the pending request.,Friendly,0.4345637585646443,Level 2,Neutral,Fail,http://example.com/action,Appreciate the clarity in this reminder.,1,7738,Yes,Saturday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-10-30 09:51:02,Medium,7,Summary of the pending request.,Neutral,0.8233393995083906,None,Positive,Fail,http://example.com/action,"Noted, will review the details soon.",0,8196,Yes,Sunday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-08 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.9229850357343844,None,Positive,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",1,5033,Yes,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-04-21 09:51:02,Low,1,Summary of the pending request.,Neutral,0.8584061263801763,None,Positive,Fail,http://example.com/action,"Noted, will review the details soon.",1,8804,Yes,Thursday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-07-02 09:51:02,Low,6,Summary of the pending request.,Neutral,0.133409589859364,Level 1,Negative,Fail,http://example.com/action,"Okay, I will check this out.",0,1345,Yes,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-11-01 09:51:02,Low,5,Summary of the pending request.,Neutral,0.950039608443156,Level 1,Negative,Fail,http://example.com/action,"Okay, I will check this out.",0,7767,Yes,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-12-09 09:51:02,Low,2,Summary of the pending request.,Urgent,0.2477437235982842,Level 1,Neutral,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,5612,No,Sunday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-09-16 09:51:02,High,4,Summary of the pending request.,Friendly,0.3393026053949631,None,Positive,Pass,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",0,2906,No,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-12 09:51:02,Medium,2,Summary of the pending request.,Urgent,0.2408715924472331,Level 2,Positive,Pass,http://example.com/action,Important to address this as soon as possible.,1,6870,Yes,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-06 09:51:02,Medium,2,Summary of the pending request.,Neutral,0.3268458048813085,Level 1,Neutral,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",1,1005,Yes,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-16 09:51:02,Medium,4,Summary of the pending request.,Neutral,0.3408959817693328,Level 1,Neutral,Fail,http://example.com/action,"Reminder received, will look into it.",0,2202,No,Thursday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-09-29 09:51:02,High,3,Summary of the pending request.,Friendly,0.4418405526596308,Level 2,Positive,Fail,http://example.com/action,"Great reminder, very helpful!",1,1966,Yes,Saturday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-03-04 09:51:02,Low,1,Summary of the pending request.,Friendly,0.0819834054948754,Level 2,Negative,Fail,http://example.com/action,"Great reminder, very helpful!",1,2296,Yes,Sunday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-14 09:51:02,Medium,4,Summary of the pending request.,Neutral,0.3407059325602923,None,Neutral,Fail,http://example.com/action,"Noted, will review the details soon.",0,7233,No,Monday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-04 09:51:02,Low,4,Summary of the pending request.,Friendly,0.9402918917795542,None,Negative,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",0,8546,Yes,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-07-24 09:51:02,High,4,Summary of the pending request.,Friendly,0.6546079661210219,Level 2,Neutral,Fail,http://example.com/action,Appreciate the clarity in this reminder.,0,6490,Yes,Wednesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-11-14 09:51:02,Medium,3,Summary of the pending request.,Neutral,0.4931239422107847,None,Positive,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",1,4300,Yes,Monday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-12-05 09:51:02,Low,5,Summary of the pending request.,Friendly,0.4175780735551736,None,Positive,Fail,http://example.com/action,"Always good to get these reminders, thank you!",0,1768,No,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-08-26 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.2289244157218269,Level 2,Negative,Pass,http://example.com/action,"Immediate action required, cannot delay!",1,3219,Yes,Monday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-09-30 09:51:02,Medium,5,Summary of the pending request.,Neutral,0.6434932633613195,Level 1,Positive,Pass,http://example.com/action,"Reminder received, will look into it.",0,7371,Yes,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-06 09:51:02,Low,2,Summary of the pending request.,Neutral,0.7976855210314036,Level 2,Positive,Fail,http://example.com/action,"Noted, will review the details soon.",1,8970,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-03-26 09:51:02,Medium,5,Summary of the pending request.,Urgent,0.7114009771190007,Level 2,Positive,Fail,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,4756,Yes,Saturday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-09-16 09:51:02,Low,3,Summary of the pending request.,Urgent,0.9172447067809756,None,Positive,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,6588,Yes,Saturday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-11-01 09:51:02,High,5,Summary of the pending request.,Neutral,0.321211428214594,None,Neutral,Fail,http://example.com/action,"Okay, I will check this out.",0,1827,No,Monday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-25 09:51:02,Medium,7,Summary of the pending request.,Friendly,0.2671726630669048,None,Neutral,Fail,http://example.com/action,Appreciate the clarity in this reminder.,0,4490,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-09-16 09:51:02,Low,3,Summary of the pending request.,Urgent,0.9172447067809756,None,Positive,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,6588,Yes,Monday
